id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,original_language,release_year
866398,The Beekeeper,2024-01-08,28.9612,7.2,4155,"[28, 80, 53]",One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,en,2024
11,Star Wars,1977-05-25,29.3186,8.203,22228,"[12, 28, 878]",Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,en,1977
597,Titanic,1997-12-18,28.9392,7.9,27067,"[18, 10749]","101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",en,1997
769,GoodFellas,1990-09-12,28.8808,8.453,14267,"[18, 80]","The true story of Henry Hill, a half-Irish, half-Sicilian Brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a Mafia family under the guidance of Jimmy Conway.",en,1990
1159831,The Bride!,2026-03-04,28.826,6.218,385,"[878, 27, 14]",A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,en,2026
550,Fight Club,1999-10-15,28.637,8.437,31913,"[18, 53]","A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",en,1999
980477,Ne Zha 2,2025-01-29,27.8312,8.121,663,"[16, 28, 14, 12]","After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",zh,2025
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,27.7708,8.327,828,"[16, 28, 10749, 14]","In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",ja,2025
460465,Mortal Kombat,2021-04-07,27.4668,6.98,6305,"[28, 14, 12]","Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.",en,2021
1022789,Inside Out 2,2024-06-11,27.4603,7.544,6630,"[16, 12, 35, 10751]","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",en,2024
1167307,David,2025-12-14,27.4498,8.0,133,"[16, 18, 10751, 36]","From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",en,2025
1223601,Sisu: Road to Revenge,2025-10-21,27.1327,7.316,721,"[28, 10752, 53]","Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",fi,2025
875828,Peaky Blinders: The Immortal Man,2026-03-05,27.0539,7.228,872,"[80, 18]","After his estranged son gets embroiled in a Nazi plot, self-exiled gangster Tommy Shelby must return to Birmingham to save his family — and his nation.",en,2026
424,Schindler's List,1993-12-15,26.7589,8.6,17385,"[18, 36, 10752]",The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,en,1993
14836,Coraline,2009-02-05,26.6294,7.902,8896,"[16, 10751, 14]","Wandering her rambling old house in her boring new town, 11-year-old Coraline discovers a hidden door to a strangely idealized version of her life. In order to stay in the fantasy, she must make a frighteningly real sacrifice.",en,2009
11013,Secretary,2002-09-20,26.5247,6.791,1884,"[10749, 18, 35]","A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one.",en,2002
22512,"Sex, Shame & Tears",1999-06-18,26.3834,6.592,146,"[35, 18, 10749]","A comedic drama featuring two couples and two old friends in Mexico City. Tomas visits Carlos and Ana, while Miguel and Andrea are joined by Maria. The presence of guests triggers lust, rejection, infidelities, reconciliation and other consequences.",es,1999
372058,Your Name.,2016-08-26,25.8838,8.475,12467,"[16, 10749, 18]","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",ja,2016
240,The Godfather Part II,1974-12-20,25.4991,8.571,13849,"[18, 80]","In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",en,1974
